Symbol,CompanyName,Year,Revenue,GrossProfit,NetProfit,OperatingProfit,TotalAssets,CurrentAssets,Debt,ShortTermDebt,Equity,EPS,BVPS,PE,ROS,ROEA,ROAA
NQT,CTCP Nước sạch Quảng Trị,2023,138828.0,48255.0,16706,17228,298090,93768,83787,48991,214303,916,11753,9.82,12.03,7.91,5.61
NQT,CTCP Nước sạch Quảng Trị,2024,186447.0,65182.0,19840,24968,307991,126985,85578,57957,222412,1088,12198,7.81,10.64,9.09,6.55
HCB,CTCP Dệt may 29/3,2021,840978.0,84191.0,12292,8576,678762,468486,544179,494947,134583,2364,25885,8.25,1.46,9.29,1.76
HCB,CTCP Dệt may 29/3,2022,937927.0,106800.0,19382,17303,646273,465827,502360,464851,143913,3728,27679,5.2,2.07,13.92,2.93
HCB,CTCP Dệt may 29/3,2023,796687.0,86027.0,18879,21750,682955,530335,533709,509620,149245,3631,28705,5.78,2.37,12.88,2.84
HCB,CTCP Dệt may 29/3,2024,785991.0,128502.0,23354,49915,544252,411873,392748,392748,151503,4492,29139,4.34,2.97,15.53,3.81
CEG,CTCP Tập đoàn Xây dựng và Thiết bị Công nghiệp,2021,122397.0,13274.0,2634,2345,319044,213871,192724,123399,126320,25,33242,371.52,2.15,2.05,0.03
CEG,CTCP Tập đoàn Xây dựng và Thiết bị Công nghiệp,2022,153743.0,16447.0,2298,4639,297850,225235,171431,132081,126419,342,33268,7.31,1.49,1.82,0.42
CEG,CTCP Tập đoàn Xây dựng và Thiết bị Công nghiệp,2023,96349.0,12207.0,-20606,-20515,236893,168145,134207,95416,102687,-4061,27023,-2.46,-21.39,-17.99,-5.77
CEG,CTCP Tập đoàn Xây dựng và Thiết bị Công nghiệp,2024,5540.0,1385.0,616,368,80325,18651,39995,1583,40329,162,10613,59.26,11.11,0.86,0.39
EPH,CTCP Dịch vụ Xuất bản Giáo dục Hà Nội,2021,87885.0,30858.0,5152,6678,70613,47286,36626,36626,33986,2061,13594,5.53,5.86,15.25,7.51
EPH,CTCP Dịch vụ Xuất bản Giáo dục Hà Nội,2022,105307.0,40331.0,8398,12376,64718,39670,27328,27328,37390,3359,14956,3.16,7.97,23.53,12.41
EPH,CTCP Dịch vụ Xuất bản Giáo dục Hà Nội,2023,109697.0,45187.0,11038,13995,64646,40795,22096,22096,42549,4415,17020,2.92,10.06,27.61,17.06
EPH,CTCP Dịch vụ Xuất bản Giáo dục Hà Nội,2024,103579.0,39292.0,6711,9189,63558,41432,22600,22600,40958,2684,16383,5.96,6.48,16.07,10.47
CC4,CTCP Đầu tư và Xây dựng Số 4,2022,626411.0,55235.0,18444,27987,1447421,843057,615925,475370,831496,358,12992,57.22,2.94,3.03,1.27
CC4,CTCP Đầu tư và Xây dựng Số 4,2023,1413416.0,102164.0,55553,70998,1639687,1045417,761879,629169,877808,533,13716,35.63,3.93,6.5,2.21
CC4,CTCP Đầu tư và Xây dựng Số 4,2024,937570.0,82640.0,36793,52610,1825302,1250097,966588,828264,858714,305,13417,54.69,3.92,4.24,1.13
CC4,CTCP Đầu tư và Xây dựng Số 4,2025,1312655.0,88904.0,41276,61734,3120277,2653462,1848478,1716244,1271799,442,19872,18.79,3.14,3.87,1.14
SCY,CTCP Đóng tàu Sông Cấm,2021,438668.0,63456.0,29363,38376,1413748,909395,559985,559985,853763,474,13777,27.44,6.69,3.47,2.32
SCY,CTCP Đóng tàu Sông Cấm,2022,598675.0,82156.0,43037,53797,1531953,1021568,650952,650952,881001,695,14217,13.68,7.19,4.96,2.92
SCY,CTCP Đóng tàu Sông Cấm,2023,1012941.0,143625.0,67191,88667,1474252,944343,578037,578037,896215,1084,14462,13.83,6.63,7.56,4.47
SCY,CTCP Đóng tàu Sông Cấm,2024,1036420.0,154823.0,80882,101070,1720907,1170243,790844,790844,930063,1305,15009,9.81,7.8,8.86,5.06
BMN,CTCP 715,2021,120145.0,13570.0,4503,5619,85383,79897,55568,55336,29815,1638,10842,8.06,3.75,15.06,5.23
BMN,CTCP 715,2022,91491.0,13049.0,4526,5721,67292,60694,37258,37258,30034,1646,10921,5.23,4.95,15.13,5.93
BMN,CTCP 715,2023,103784.0,13738.0,3726,6072,58556,52851,28800,28800,29756,1355,10820,6.2,3.59,12.47,5.92
BMN,CTCP 715,2024,88293.0,9877.0,3639,2913,63017,57942,33285,33285,29732,1323,10812,6.12,4.12,12.23,5.99
KCE,CTCP Bê tông Ly tâm Điện Lực Khánh Hòa,2021,35077.0,6018.0,985,1595,33329,19980,4818,4818,28511,657,19007,22.83,2.81,3.36,2.87
KCE,CTCP Bê tông Ly tâm Điện Lực Khánh Hòa,2022,49276.0,8013.0,578,964,31660,19670,3557,3557,28103,385,18735,22.07,1.17,2.04,1.78
KCE,CTCP Bê tông Ly tâm Điện Lực Khánh Hòa,2023,40494.0,8359.0,1838,2416,34891,23984,5400,5400,29491,1225,19661,6.2,4.54,6.38,5.52
KCE,CTCP Bê tông Ly tâm Điện Lực Khánh Hòa,2024,47590.0,12858.0,2792,3276,34535,23637,4219,4219,30317,1861,20211,5.91,5.87,9.34,8.04
CAB,CTCP Tổng Công ty Truyền hình Cáp Việt Nam,2022,2401311.0,597083.0,61271,83006,1908861,984349,1271615,1175698,637246,1251,13930,13.26,2.55,9.86,3.11
